,0,1,2,3
0,0.15009463529699768,0.16677181699666407,0.16677181699666407,0.0
10,0.15009463529699768,0.15009463529699765,0.1853020188851823,0.0
20,0.16677181513284378,0.13499374893603763,0.16677181699666405,0.0
30,0.15006078197810818,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0365263692814741,0.0,-0.5318532715248092,0.0
31,0.16677181692553283,0.002220450418587363,-0.726857318986242,0.0
32,0,0,0,0
1,0.16677181699666407,0.1853020188851823,0.1853020188851823,0.0
21,0.18530201888518227,0.15009463504081108,-0.9999999999977865,0.0
2,0.18530201888518227,0.205891132094647,0.205891132094647,0.0
3,0.20589113209464696,0.22876792454960776,0.22876792454960776,0.0
13,0.20589113209464693,0.2541865828328975,0.2541865828328975,0.0
4,0.22876792454960776,0.2541865828328975,0.2541865828328975,0.0
5,0.25418658283289747,0.2824295364809973,0.2824295364809973,0.0
15,0.2541865828328974,0.31381059608999706,0.31381059608999706,0.0
14,0.22876792454960773,0.2824295364809973,0.2824295364809973,0.0
25,0.2824295364809972,-0.9999999999999997,0.3486784400999969,0.0
35,0,0,0,0
11,0.16677181699666405,0.16677181699666405,0.205891132094647,0.0
12,0.18530201888518227,-0.9999999999999999,0.22876792454960776,0.0
22,0,0,0,0
23,0.22876792454960773,-0.9999999999999998,0.2824295364809973,-0.03333333333333333
24,0.2541865828328974,-0.9999999999999998,0.31381059608999706,0.0
26,0.31381059608999695,-0.9999999999999996,0.3874204889999967,0.0
27,0.3486784400999968,0.4304672099999966,0.3486784400999968,0.0
36,0,0,0,0
50,0.0,0.0,0.0,0.0
51,0.0,-0.3474121910782892,0.0,0.0
42,0,0,0,0
34,0,0,0,0
61,0,0,0,0
6,0.2824295364809972,0.31381059608999706,0.31381059608999706,0.0
33,0,0,0,0
16,0.2824295364809972,0.3486784400999969,0.3486784400999969,0.0
17,0.31381059608999695,0.3874204889999967,-0.9999999999999996,0.0
28,-0.9977067726355127,0.3804757207648319,-0.9939571516138226,0.3874204889999967
29,0,0,0,0
7,0.3138105960899902,0.3486784400999969,0.2824295364131699,0.0
37,0.3874204889999967,0.47829689999999647,0.3874204889999966,-0.012195121951219513
8,0.09322246195081796,-0.38179865964527226,0.0150843917591182,0.3138105960798076
9,0.0,0.0,0.0,0.0978790235439655
18,0,0,0,0
19,0.0,-0.08768045888316826,0.0,-0.006289308176100629
52,-0.1042257518689932,0.0,0.0,0.0
62,0.0,-0.1560650105708245,0.0,-0.012195121951219513
60,0.0,0.0,-0.13293010206844272,0.0
70,0.0,0.0,0.0,0.0
38,0.34867844009999677,0.43046720999999644,0.3459751938781177,0.0
47,0.43046720999999655,0.5314409999999964,0.43046720999999644,-0.022727272727272728
57,0.47829689999999647,0.5904899999999966,0.47829689999999636,0.0
58,0.43041865708549215,-0.9997653173338944,-0.9999396766463681,0.5314409999999963
46,0,0,0,0
48,0.38735500852885735,0.47829689999999636,0.31264276453315903,0.0
56,-0.015343677445552716,0.0,0.017143258125420315,0.0
67,0.5314409999999963,0.6560999999999968,-0.9999999999999993,0.0
68,0,0,0,0
53,-0.22364043674499987,0.0,-0.16820040313422668,0.0
43,0,0,0,0
54,0,0,0,0
63,0.0,-0.09304816882853542,0.0,0.0
73,0,0,0,0
72,0,0,0,0
71,-0.08652987717760623,0.0,-0.05587565009057442,0.0
80,0.0,-0.08113573173814137,0.0,0.0
90,0,0,0,0
64,-0.04637206764866339,0.0,0.0,0.0
65,1.192337678075344e-16,0.0,0.0,0.0
75,0.0,0.0,-0.014705882352941176,0.0
74,0.0,0.0,0.0,-0.012987012987012988
55,-0.024120895088637025,0.0,1.8917467590961292e-12,-0.029411764705882353
77,0.5904899999999964,0.7289999999999972,0.7289999999999972,-0.008264462809917356
87,0.6560999999999967,0.8099548036792915,0.8099999999999977,-0.02857142857142857
97,0.7289999999999972,0.651314218350994,0.8999920956419749,-0.00980392156862745
88,0.7289999999999972,0.8999999999999984,0.8999999999999984,0.0
98,0.8099999999997978,0.8999999999978088,0.9999999999999991,0.0
78,-0.9999999999999992,0.8099999999999977,-0.9999999999999992,0.0
79,0,0,0,0
66,0.0,-0.036118003859939345,0.0,0.0
86,0,0,0,0
39,-0.3649861612822305,0.07302577961218194,0.13953217125971723,0.3874176732670115
81,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,-0.03125
49,0.348443472807458,-0.3345778868632088,0.09783681868284194,0.0
59,0,0,0,0
96,0,0,0,0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0
83,-0.0260577915376677,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,-0.03686550737398195,0.0
85,0.0,0.0,-0.06332280000446643,0.0
76,0,0,0,0
45,0,0,0,0
82,-0.039589442815249266,0.0,0.0,0.0
99,0,0,0,0
89,-0.9999999999999991,0.9999999999999991,0.8999999999999984,0
